greedy + humaneval:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 64.38  | 1.51    | 0.0235     | 0.0654         |
| deepseek-6.7b | 62.1   | 3.54    | 0.057      | 0.0553         |
| stable-3b     | 70.18  | 1.95    | 0.0278     | 0.0476         |
| codellama-7b  | 90.04  | 5.72    | 0.0635     | 0.0395         |
| qwen3-0.6b    | 107.54 | 3.5     | 0.0326     | 0.061          |
| qwen3-1.7b    | 81.89  | 3.34    | 0.0407     | 0.1107         |
| qwen3-4b      | 111.87 | 7.32    | 0.0654     | 0.0795         |
| qwen3-8b      | 84.79  | 7.01    | 0.0826     | 0.0598         |



adaFixL + mbpp:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 54.49  | 1.15    | 0.0212     | 0.0832         |
| deepseek-6.7b | 59.27  | 2.28    | 0.0385     | 0.0582         |
| stable-3b     | 54.66  | 0.99    | 0.0181     | 0.0635         |
| codellama-7b  | 68.21  | 2.65    | 0.0388     | 0.052          |
| qwen3-0.6b    | 171.21 | 4.76    | 0.0278     | 0.0633         |
| qwen3-1.7b    | 86.38  | 2.84    | 0.0328     | 0.1141         |
| qwen3-4b      | 82.72  | 4.03    | 0.0488     | 0.1064         |
| qwen3-8b      | 78.34  | 4.85    | 0.0619     | 0.0841         |



adaDynL + humaneval:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 66.59  | 1.84    | 0.0277     | 0.0669         |
| deepseek-6.7b | 60.76  | 4.1     | 0.0676     | 0.056          |
| stable-3b     | 68.1   | 2.18    | 0.032      | 0.0472         |
| codellama-7b  | 88.43  | 6.41    | 0.0725     | 0.0395         |
| qwen3-0.6b    | 100.1  | 3.17    | 0.0317     | 0.0518         |
| qwen3-1.7b    | 83.4   | 4.05    | 0.0486     | 0.1006         |
| qwen3-4b      | 89.08  | 7.44    | 0.0835     | 0.0937         |
| qwen3-8b      | 89.1   | 10.12   | 0.1136     | 0.0639         |



adaDynL + mbpp:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 59.36  | 1.77    | 0.0298     | 0.0828         |
| deepseek-6.7b | 53.55  | 2.64    | 0.0493     | 0.0589         |
| stable-3b     | 53.53  | 1.35    | 0.0253     | 0.0651         |
| codellama-7b  | 68.61  | 3.65    | 0.0532     | 0.0545         |
| qwen3-0.6b    | 154.45 | 5.72    | 0.037      | 0.0621         |
| qwen3-1.7b    | 98.66  | 5.46    | 0.0553     | 0.1188         |
| qwen3-4b      | 74.22  | 5.15    | 0.0694     | 0.1018         |
| qwen3-8b      | 71.97  | 5.69    | 0.079      | 0.0796         |
